date,month,year,week,quarter,fiscal_year,fiscal_period,period_name,start_date,end_date,field_11_raw,field_12_raw,field_13_raw,field_14_raw,field_15_raw,field_16_raw,field_17
20180209,Feb 9,,,,,,,,,,,,,,,
20200209,Feb 9,,,,,,,,,,,,,,,
20190209,Feb 9,,,,,,,,,,,,,,,
20200101,Jan 1,,,,,,,,,,,,,,,
20190101,Jan 1,,,,,,,,,,,,,,,
20220101,Jan 1,,,,,,,,,,,,,,,
20210101,Jan 1,,,,,,,,,,,,,,,
20230101,Jan 1,,,,,,,,,,,,,,,
20190102,Jan 2,,,,,,,,,,,,,,,
20210102,Jan 2,,,,,,,,,,,,,,,
20200102,Jan 2,,,,,,,,,,,,,,,
20230102,Jan 2,,,,,,,,,,,,,,,
20220102,Jan 2,,,,,,,,,,,,,,,
20210103,Jan 3,,,,,,,,,,,,,,,
20190103,Jan 3,,,,,,,,,,,,,,,
20220103,Jan 3,,,,,,,,,,,,,,,
20230103,Jan 3,,,,,,,,,,,,,,,
20200103,Jan 3,,,,,,,,,,,,,,,
20190104,Jan 4,,,,,,,,,,,,,,,
20210104,Jan 4,,,,,,,,,,,,,,,
20200104,Jan 4,,,,,,,,,,,,,,,
20230104,Jan 4,,,,,,,,,,,,,,,
20220104,Jan 4,,,,,,,,,,,,,,,
20190105,Jan 5,,,,,,,,,,,,,,,
20220105,Jan 5,,,,,,,,,,,,,,,
20200105,Jan 5,,,,,,,,,,,,,,,
20210105,Jan 5,,,,,,,,,,,,,,,
20230105,Jan 5,,,,,,,,,,,,,,,
20190106,Jan 6,,,,,,,,,,,,,,,
20200106,Jan 6,,,,,,,,,,,,,,,
20210106,Jan 6,,,,,,,,,,,,,,,
20230106,Jan 6,,,,,,,,,,,,,,,
20220106,Jan 6,,,,,,,,,,,,,,,
20230107,Jan 7,,,,,,,,,,,,,,,
20210107,Jan 7,,,,,,,,,,,,,,,
20200107,Jan 7,,,,,,,,,,,,,,,
20220107,Jan 7,,,,,,,,,,,,,,,
20190107,Jan 7,,,,,,,,,,,,,,,
20220108,Jan 8,,,,,,,,,,,,,,,
20210108,Jan 8,,,,,,,,,,,,,,,
20230108,Jan 8,,,,,,,,,,,,,,,
20200108,Jan 8,,,,,,,,,,,,,,,
20190108,Jan 8,,,,,,,,,,,,,,,
20210109,Jan 9,,,,,,,,,,,,,,,
20200109,Jan 9,,,,,,,,,,,,,,,
20190109,Jan 9,,,,,,,,,,,,,,,
20220109,Jan 9,,,,,,,,,,,,,,,
20230109,Jan 9,,,,,,,,,,,,,,,
20190701,Jul 1,,,,,,,,,,,,,,,
20200701,Jul 1,,,,,,,,,,,,,,,
20220701,Jul 1,,,,,,,,,,,,,,,
20210701,Jul 1,,,,,,,,,,,,,,,
20180701,Jul 1,,,,,,,,,,,,,,,
20210702,Jul 2,,,,,,,,,,,,,,,
20220702,Jul 2,,,,,,,,,,,,,,,
20190702,Jul 2,,,,,,,,,,,,,,,
20180702,Jul 2,,,,,,,,,,,,,,,
20200702,Jul 2,,,,,,,,,,,,,,,
20190703,Jul 3,,,,,,,,,,,,,,,
20200703,Jul 3,,,,,,,,,,,,,,,
20220703,Jul 3,,,,,,,,,,,,,,,
20210703,Jul 3,,,,,,,,,,,,,,,
20180703,Jul 3,,,,,,,,,,,,,,,
20190704,Jul 4,,,,,,,,,,,,,,,
20210704,Jul 4,,,,,,,,,,,,,,,
20200704,Jul 4,,,,,,,,,,,,,,,
20220704,Jul 4,,,,,,,,,,,,,,,
20180704,Jul 4,,,,,,,,,,,,,,,
20190705,Jul 5,,,,,,,,,,,,,,,
20220705,Jul 5,,,,,,,,,,,,,,,
20180705,Jul 5,,,,,,,,,,,,,,,
20210705,Jul 5,,,,,,,,,,,,,,,
20200705,Jul 5,,,,,,,,,,,,,,,
20210706,Jul 6,,,,,,,,,,,,,,,
20190706,Jul 6,,,,,,,,,,,,,,,
20180706,Jul 6,,,,,,,,,,,,,,,
20200706,Jul 6,,,,,,,,,,,,,,,
20220706,Jul 6,,,,,,,,,,,,,,,
20220707,Jul 7,,,,,,,,,,,,,,,
20200707,Jul 7,,,,,,,,,,,,,,,
20210707,Jul 7,,,,,,,,,,,,,,,
20190707,Jul 7,,,,,,,,,,,,,,,
20180707,Jul 7,,,,,,,,,,,,,,,
20190708,Jul 8,,,,,,,,,,,,,,,
20210708,Jul 8,,,,,,,,,,,,,,,
20220708,Jul 8,,,,,,,,,,,,,,,
20200708,Jul 8,,,,,,,,,,,,,,,
20180708,Jul 8,,,,,,,,,,,,,,,
20200709,Jul 9,,,,,,,,,,,,,,,
20210709,Jul 9,,,,,,,,,,,,,,,
20220709,Jul 9,,,,,,,,,,,,,,,
20180709,Jul 9,,,,,,,,,,,,,,,
20190709,Jul 9,,,,,,,,,,,,,,,
20190601,Jun 1,,,,,,,,,,,,,,,
20180601,Jun 1,,,,,,,,,,,,,,,
20210601,Jun 1,,,,,,,,,,,,,,,
20200601,Jun 1,,,,,,,,,,,,,,,
20220601,Jun 1,,,,,,,,,,,,,,,
20220602,Jun 2,,,,,,,,,,,,,,,
20210602,Jun 2,,,,,,,,,,,,,,,
20200602,Jun 2,,,,,,,,,,,,,,,
20190602,Jun 2,,,,,,,,,,,,,,,
20180602,Jun 2,,,,,,,,,,,,,,,
20210603,Jun 3,,,,,,,,,,,,,,,
20220603,Jun 3,,,,,,,,,,,,,,,
20200603,Jun 3,,,,,,,,,,,,,,,
20190603,Jun 3,,,,,,,,,,,,,,,
20180603,Jun 3,,,,,,,,,,,,,,,
20210604,Jun 4,,,,,,,,,,,,,,,
20220604,Jun 4,,,,,,,,,,,,,,,
20180604,Jun 4,,,,,,,,,,,,,,,
20200604,Jun 4,,,,,,,,,,,,,,,
20190604,Jun 4,,,,,,,,,,,,,,,
20180605,Jun 5,,,,,,,,,,,,,,,
20200605,Jun 5,,,,,,,,,,,,,,,
20220605,Jun 5,,,,,,,,,,,,,,,
20190605,Jun 5,,,,,,,,,,,,,,,
20210605,Jun 5,,,,,,,,,,,,,,,
20190606,Jun 6,,,,,,,,,,,,,,,
20180606,Jun 6,,,,,,,,,,,,,,,
20200606,Jun 6,,,,,,,,,,,,,,,
20220606,Jun 6,,,,,,,,,,,,,,,
20210606,Jun 6,,,,,,,,,,,,,,,
20190607,Jun 7,,,,,,,,,,,,,,,
20180607,Jun 7,,,,,,,,,,,,,,,
20220607,Jun 7,,,,,,,,,,,,,,,
20200607,Jun 7,,,,,,,,,,,,,,,
20210607,Jun 7,,,,,,,,,,,,,,,
20210608,Jun 8,,,,,,,,,,,,,,,
20220608,Jun 8,,,,,,,,,,,,,,,
20190608,Jun 8,,,,,,,,,,,,,,,
20180608,Jun 8,,,,,,,,,,,,,,,
20200608,Jun 8,,,,,,,,,,,,,,,
20180609,Jun 9,,,,,,,,,,,,,,,
20200609,Jun 9,,,,,,,,,,,,,,,
20220609,Jun 9,,,,,,,,,,,,,,,
20190609,Jun 9,,,,,,,,,,,,,,,
20210609,Jun 9,,,,,,,,,,,,,,,
20210301,Mar 1,,,,,,,,,,,,,,,
20220301,Mar 1,,,,,,,,,,,,,,,
20190301,Mar 1,,,,,,,,,,,,,,,
20200301,Mar 1,,,,,,,,,,,,,,,
20180301,Mar 1,,,,,,,,,,,,,,,
20190302,Mar 2,,,,,,,,,,,,,,,
20210302,Mar 2,,,,,,,,,,,,,,,
20200302,Mar 2,,,,,,,,,,,,,,,
20180302,Mar 2,,,,,,,,,,,,,,,
20220302,Mar 2,,,,,,,,,,,,,,,
20190303,Mar 3,,,,,,,,,,,,,,,
20210303,Mar 3,,,,,,,,,,,,,,,
20180303,Mar 3,,,,,,,,,,,,,,,
20200303,Mar 3,,,,,,,,,,,,,,,
20220303,Mar 3,,,,,,,,,,,,,,,
20200304,Mar 4,,,,,,,,,,,,,,,
20180304,Mar 4,,,,,,,,,,,,,,,
20210304,Mar 4,,,,,,,,,,,,,,,
20190304,Mar 4,,,,,,,,,,,,,,,
20220304,Mar 4,,,,,,,,,,,,,,,
20200305,Mar 5,,,,,,,,,,,,,,,
20210305,Mar 5,,,,,,,,,,,,,,,
20220305,Mar 5,,,,,,,,,,,,,,,
20180305,Mar 5,,,,,,,,,,,,,,,
20190305,Mar 5,,,,,,,,,,,,,,,
20190306,Mar 6,,,,,,,,,,,,,,,
20220306,Mar 6,,,,,,,,,,,,,,,
20180306,Mar 6,,,,,,,,,,,,,,,
20200306,Mar 6,,,,,,,,,,,,,,,
20210306,Mar 6,,,,,,,,,,,,,,,
20180307,Mar 7,,,,,,,,,,,,,,,
20190307,Mar 7,,,,,,,,,,,,,,,
20210307,Mar 7,,,,,,,,,,,,,,,
20220307,Mar 7,,,,,,,,,,,,,,,
20200307,Mar 7,,,,,,,,,,,,,,,
20210308,Mar 8,,,,,,,,,,,,,,,
20220308,Mar 8,,,,,,,,,,,,,,,
20190308,Mar 8,,,,,,,,,,,,,,,
20180308,Mar 8,,,,,,,,,,,,,,,
20200308,Mar 8,,,,,,,,,,,,,,,
20210309,Mar 9,,,,,,,,,,,,,,,
20220309,Mar 9,,,,,,,,,,,,,,,
20180309,Mar 9,,,,,,,,,,,,,,,
20190309,Mar 9,,,,,,,,,,,,,,,
20200309,Mar 9,,,,,,,,,,,,,,,
20220501,May 1,,,,,,,,,,,,,,,
20190501,May 1,,,,,,,,,,,,,,,
20210501,May 1,,,,,,,,,,,,,,,
20180501,May 1,,,,,,,,,,,,,,,
20200501,May 1,,,,,,,,,,,,,,,
20210502,May 2,,,,,,,,,,,,,,,
20200502,May 2,,,,,,,,,,,,,,,
20220502,May 2,,,,,,,,,,,,,,,
20190502,May 2,,,,,,,,,,,,,,,
20180502,May 2,,,,,,,,,,,,,,,
20180503,May 3,,,,,,,,,,,,,,,
20200503,May 3,,,,,,,,,,,,,,,
20210503,May 3,,,,,,,,,,,,,,,
20190503,May 3,,,,,,,,,,,,,,,
20220503,May 3,,,,,,,,,,,,,,,
20200504,May 4,,,,,,,,,,,,,,,
20210504,May 4,,,,,,,,,,,,,,,
20180504,May 4,,,,,,,,,,,,,,,
20190504,May 4,,,,,,,,,,,,,,,
20220504,May 4,,,,,,,,,,,,,,,
20180505,May 5,,,,,,,,,,,,,,,
20220505,May 5,,,,,,,,,,,,,,,
20200505,May 5,,,,,,,,,,,,,,,
20190505,May 5,,,,,,,,,,,,,,,
20210505,May 5,,,,,,,,,,,,,,,
20210506,May 6,,,,,,,,,,,,,,,
20190506,May 6,,,,,,,,,,,,,,,
20200506,May 6,,,,,,,,,,,,,,,
20220506,May 6,,,,,,,,,,,,,,,
20180506,May 6,,,,,,,,,,,,,,,
20180507,May 7,,,,,,,,,,,,,,,
20210507,May 7,,,,,,,,,,,,,,,
20200507,May 7,,,,,,,,,,,,,,,
20220507,May 7,,,,,,,,,,,,,,,
20190507,May 7,,,,,,,,,,,,,,,
20200508,May 8,,,,,,,,,,,,,,,
